Acquisition order,Batch,Sample,z C30 FAME internal standard,z C20 FAME internal standard,z C10 FAME internal standard,alanine,glucose,stearic acid,ornithine,phthalic acid,pipecolinic acid
1,B1,train,14085,55787,132412,218785,21050,125064,59125,1241,782
2,B1,test,17560,61119,136662,211818,24910,114114,49584,1154,890
3,B1,train,15042,57881,129653,215750,23117,143053,66687,1699,830
4,B2,test,12533,63629,142947,227200,61352,96292,54133,1647,875
5,B2,train,18879,62417,141434,207726,23678,93016,59266,1453,1010
6,B2,test,19099,64532,150061,209243,22815,126803,47984,1111,873
7,B2,train,18535,67254,158839,209328,20162,126220,70014,1534,860
8,B3,test,17768,63833,145867,214425,22288,152960,69695,1704,896
9,B3,train,20127,70481,161424,183488,22681,168417,41687,1035,854
10,B3,test,21715,71166,170116,188141,23720,123099,46582,1568,815
11,B3,train,21478,72580,159333,196995,24928,142304,44356,1493,526
12,B4,test,22838,73057,165498,178872,28630,229703,41786,1549,845
13,B4,train,21894,73466,167841,172995,25684,184106,43997,1436,815
14,B4,test,23619,75955,182568,160733,26845,124149,43383,1466,672
15,B4,train,20456,71353,162593,206562,26265,150892,49664,1598,572
16,B5,test,21169,72748,169731,168490,26099,154357,44360,1176,662
17,B5,train,19991,66632,156228,192759,25308,98782,41431,1249,915
18,B5,test,18164,65993,151518,205622,27561,99005,51251,1243,609
19,B5,train,21041,76130,175931,191024,24943,79587,42593,919,976
20,B6,test,24646,82893,211112,168267,27048,118057,89009,1713,630
21,B6,train,20741,72818,166298,179469,32283,149082,39136,1267,795
22,B6,test,18159,66420,155396,191334,37312,147834,42146,1213,738
23,B7,train,19680,72047,162228,203223,26172,164285,50044,1478,876
24,B7,test,21594,75023,172714,236475,27690,146582,54039,1108,1075
25,B7,train,20184,73210,155665,174379,22225,195597,38940,1160,834
26,B7,test,20743,76307,168115,218476,39172,153452,48486,1724,841
27,B8,train,22390,76128,184827,193137,25796,167620,65945,1805,646
28,B8,test,20695,71889,162732,207512,27468,79842,49556,1216,809
29,B8,train,27413,88205,199286,175973,28852,88354,49177,1361,672
30,B8,test,26825,89177,212146,184529,27614,81687,46068,1814,837
31,B9,train,29330,103173,232552,177616,31899,85172,42212,1675,876
32,B9,test,32503,104657,234931,229732,39162,110042,53999,1623,1019
33,B6,train,34543,112646,242851,160925,34795,152326,47198,1926,477
34,B9,test,17728,59018,132618,186433,29789,151399,34360,1300,856
35,B9,train,24085,82334,185674,180581,30014,189686,34713,1411,763
36,B10,test,16770,59392,135796,181894,31265,150990,26585,1581,876
37,B10,train,16895,58516,131582,179823,30590,192174,27708,1343,531
38,B10,test,16815,58393,133365,169911,28077,195865,29605,1418,737
39,B11,train,16818,57517,132407,177936,32281,152176,30682,1391,738
40,B11,test,17966,60297,137059,162865,31915,134581,31696,1496,625
41,B11,train,15531,56600,119771,184236,29871,139693,29423,1563,931
42,B11,test,16474,56035,136415,167653,24341,260135,47541,1556,638
43,B12,train,15228,56565,128806,177565,27940,202221,32648,1173,861
44,B12,test,17969,60696,135818,173340,30456,172890,26116,1515,600
45,B12,train,17823,60374,137607,159490,31459,201047,31408,1937,567
46,B12,test,16318,57650,132203,181381,32526,186851,29200,1782,666
47,B13,train,17366,59169,130473,190750,28863,122137,27216,1596,911
48,B13,test,16249,61806,135207,158126,30681,241867,22828,1842,661
49,B13,train,15387,54483,123056,199497,28695,137668,28877,1293,848
50,B14,test,16279,55096,124751,202642,29159,149676,32243,1359,853
51,B13,train,16936,59862,131432,161816,33005,206893,34752,1782,855
52,B14,test,16367,56464,125761,194296,28814,138122,27473,1411,885
53,B14,train,15667,56674,131260,184216,30463,140959,26666,1691,707
54,B15,test,16459,58996,134648,175887,31187,156023,31370,988,549
55,B15,train,24093,87530,193424,181196,31792,145782,27762,1398,824
56,B15,test,17804,64256,135660,184560,30671,141406,29193,1203,577
57,B15,train,18738,69585,158797,159740,28317,240227,23966,1775,565
58,B16,test,15903,59180,132407,180934,25188,245351,64970,1625,836
59,B16,train,23149,81430,188741,179673,29425,189357,28959,1584,534
60,B16,test,16976,64096,135630,182639,32145,201147,30148,1461,514
61,B16,train,16279,60798,142673,188926,26534,160903,24314,1259,761
62,B17,test,18597,63631,136978,189923,25575,144144,21986,1253,857
63,B17,train,16345,59195,129602,190165,27590,171436,26405,1273,632
64,B17,test,16448,62258,152314,140730,29969,264053,27597,1890,313
65,B18,train,18031,73298,165718,158508,30952,194796,26621,2825,797
66,B15,test,18526,67535,146771,182563,32720,198903,30089,2789,738
67,B18,train,14162,51671,159855,273167,22073,104081,43973,1607,1046
68,B18,test,13213,55358,176351,253599,20074,98189,66906,1309,981
69,B18,train,16785,64779,185396,254876,22212,97398,55249,1283,936
70,B19,test,16623,64990,197762,260201,22561,82784,38037,1145,1019
71,B19,train,13882,58954,189713,248755,24482,87419,50225,1058,951
72,B19,test,15472,59629,173173,239818,21752,113748,68688,1166,947
73,B20,train,11998,59073,165993,268353,24821,116903,74945,1319,973
74,B20,test,18423,73361,196999,238801,23959,108216,56704,972,984
75,B20,train,14853,56364,162023,224919,24758,126329,48179,1633,734
76,B20,test,20271,78618,227015,235039,27312,115772,33892,1420,1033
77,B21,train,13053,52746,152558,225193,24610,129077,29348,1724,975
78,B21,test,11429,45561,132965,243831,24823,90413,34214,1849,823
79,B21,train,13442,52506,137885,234796,25365,114910,35065,1734,712
80,B21,test,12598,53415,146146,247829,29415,92949,30767,1626,771
81,B22,train,12957,53338,154009,230817,25947,123105,32758,1728,797
82,B22,test,13744,54108,152930,246492,24685,112126,31524,1311,878
83,B22,train,13025,50076,138554,268025,24766,118990,45387,1683,952
84,B23,test,11832,47917,126063,274726,27361,135120,46161,1206,965
85,B23,train,13117,50915,142870,249703,24134,125900,33109,1232,861
86,B23,test,13616,53049,134894,270461,25841,97174,27244,1405,873
87,B24,train,11347,43407,125049,310182,25863,171857,55754,1466,923
88,B24,test,11559,47333,126719,280202,24765,80217,39122,1357,892
89,B24,train,12535,48487,126670,275700,24433,144610,43910,1773,799
90,B24,test,13741,52179,131629,253070,24996,105435,34226,1365,844
91,B24,train,13734,49155,131285,273100,26583,115793,50441,1157,939
92,B25,test,14380,51700,144363,262408,23230,109350,36515,1597,897
93,B25,train,12500,44659,119161,269970,27543,119470,44856,1960,964
94,B25,test,13210,49643,129204,285775,28373,98972,36402,1860,901
95,B26,train,13790,51596,131658,251445,26038,103413,30937,1578,733
96,B26,test,13489,51645,138967,247252,26731,140466,31843,1499,732
97,B26,train,15627,56954,148880,289280,35675,126627,31707,3631,820
98,B26,test,12514,49501,126619,253809,26582,147221,37262,1382,658
99,B26,train,14082,51500,140303,244757,25175,174113,30329,1799,704
100,B27,test,32502,112106,201585,332977,32678,141248,39962,1960,1081
101,B27,train,20991,71873,127235,273044,26657,136430,43362,2430,939
102,B27,test,20711,77249,143259,260524,25174,104346,30416,2030,715
103,B27,train,22155,75980,130654,251339,29762,101339,42762,2180,897
104,B28,test,17976,64959,116334,271746,24454,99040,38837,1030,842
105,B28,train,17748,67015,111836,326105,31946,153686,49728,1707,995
106,B28,test,21438,73441,123903,244592,27621,115439,35517,2838,672
107,B29,train,26324,87117,152860,263291,32821,114114,20174,1043,779
108,B29,test,21902,68472,117605,288010,27293,147260,45231,844,719
109,B29,train,20587,70936,119063,280415,29397,118470,39516,2717,857
110,B29,test,19011,69091,119611,317079,31025,140527,32588,1361,1024
111,B30,train,23104,76039,131996,268773,28599,141328,39150,1097,883
112,B30,test,17970,63467,108370,265059,23337,110907,45350,1081,864
113,B30,train,23089,71115,121736,323104,31335,124771,37224,969,1058
114,B30,test,22422,72804,125788,255766,25207,111785,32424,1181,621
115,B31,train,21429,71370,121761,263989,25361,139951,37657,1109,936
116,B31,test,23362,79917,142256,230113,25527,140265,27323,879,579
117,B31,train,19394,66308,109376,278736,28844,116967,50721,944,788
118,B31,test,21353,67490,123851,260210,24762,107190,41820,992,578
119,B32,train,18843,63178,108350,292606,24647,115197,54116,901,928
120,B32,test,22007,73041,122328,288367,25538,168558,37699,964,813
121,B32,train,18661,62714,105270,310484,25709,143026,59689,1085,857
122,B32,test,29305,99379,160570,283317,26334,126727,46284,1022,789
123,B33,train,28969,94881,159403,261080,25917,97042,37511,832,765
124,B33,test,27628,94400,165583,276815,24693,79543,39354,1388,772
125,B33,train,33192,111460,179188,278372,29945,123972,38992,969,823
126,B34,test,32128,101521,174499,276538,24877,118917,38660,784,770
127,B34,train,18662,57931,85494,296996,28012,114977,46130,1153,843
128,B34,test,12625,63574,102803,295436,26846,118611,51059,910,778
129,B34,train,28088,92422,138960,330413,35329,140108,61253,1037,1082
130,B35,test,30736,98067,140952,246925,24522,86071,45583,750,665
131,B35,train,32060,102225,153920,269261,28595,120902,46330,1039,739
132,B35,test,35087,105335,164525,331810,32744,130307,57881,1161,798
133,B35,train,29681,96042,150640,348911,32223,129455,54796,1230,892
134,B36,test,30365,110234,182896,234897,22975,113997,44991,1070,723
135,B36,train,33103,119843,200135,250797,24630,93331,31103,452,789
136,B36,test,41337,134415,235337,229324,27924,93415,25791,1392,736
137,B36,train,29189,96059,149938,265157,32592,162759,35404,1639,721
138,B37,test,17799,88264,144379,213714,24872,133704,29382,892,761
139,B37,train,17351,72695,126211,266069,25213,124358,41483,913,754
140,B37,test,20883,80407,154345,237383,23807,90318,28093,967,871
141,B37,train,26800,81786,148474,261022,23167,100862,34005,966,730
142,B38,test,26459,76581,138517,265314,21687,114781,39253,650,824
143,B38,train,23832,70923,138303,220551,21541,136948,40946,987,545
144,B38,test,26536,85080,154876,247359,25263,130253,36499,781,622
145,B39,train,24743,76356,146977,276072,22164,96021,35077,926,747
146,B39,test,25500,76421,137686,302779,23495,114183,45318,1118,796
147,B39,train,23523,71284,127750,352412,28519,164850,59076,1282,1017
148,B39,test,25292,76478,139744,253170,24175,114253,37843,1117,676
149,B40,train,36122,116116,199726,294437,30827,154919,42158,1656,836
150,B40,test,38247,111047,205060,278811,23379,81697,30180,1276,176
151,B40,train,34771,100747,190473,364905,27223,140905,74029,1534,229
152,B40,test,38881,114406,193915,271131,24906,100541,30374,1384,198
