ID,Name,KEGG,PubChem CID,log fold_change
40,phosphoric acid,C00009,1004,1.266090516
95,glutamic acid,C00025,33032,-0.528311982
139,alpha ketoglutaric acid,C00026,51,0.614053106
98,glucose,C00031,107526,0.769598848
88,glycine,C00037,750,-0.513542991
140,alanine,C00041,5950,-0.597539413
19,succinic acid,C00042,1110,0.589167391
70,lysine,C00047,5962,0.696793085
134,aspartic acid,C00049,5960,-0.613375583
94,glutamine,C00064,5961,-0.77634695
29,serine,C00065,5951,-0.770996319
136,ascorbic acid,C00072,5785,0.995020606
57,methionine,C00073,6137,-0.570238279
8,tryptophan,C00078,6305,1.758571284
43,phenylalanine,C00079,6140,0.356217134
6,tyrosine,C00082,6057,0.47070443
108,fructose-6-phosphate,C00085,69507,-0.512862605
96,glucose-6-phosphate,C00092,5958,-0.490862116
89,glycerol-alpha-phosphate,C00093,754,-0.426421641
109,fructose,C00095,5984,0.926856709
117,cysteine,C00097,594,1.16678522
97,glucose-1-phosphate,C00103,65533,0.839792184
30,ribose,C00121,5779,0.20790353
35,pyrophosphate,C0013,1023,-0.457226426
37,putrescine,C00134,1045,0.632760888
66,malic acid,C00149,222656,0.261024834
135,asparagine,C00152,236,-0.625909602
121,citric acid,C00158,311,1.069335035
87,glycolic acid,C00160,757,-0.37749595
123,cholesterol,C00187,5997,-1.375247822
112,ethanolamine,C00189,700,-0.685397197
84,hydroxylamine,C00192,787,0.283753383
99,gluconic acid lactone,C00198,7027,0.596816936
49,oxalic acid,C00209,971,0.581266805
85,homoserine,C00263,12647,-1.436413757
34,quinic acid,C00296,6508,2.623475685
25,spermidine,C00315,1102,0.264817823
120,citrulline,C00327,9750,0.257438567
101,galacturonic acid,C00333,84740,0.735678726
105,GABA,C00334,119,-0.963633026
79,isoleucine,C00407,6306,0.140508043
102,galactose-6-phosphate,C00446,99058,-0.45617406
32,ribitol,C00474,827,1.048402956
7,tyramine,C00483,5610,-0.422382465
33,raffinose,C00492,219993,-1.891666093
28,shikimic acid,C00493,8742,-1.061690514
114,erythritol,C00503,222285,1.254427222
61,mannonic acid ,C00514,3246006,0.265053789
50,oleic acid,C00712,445639,-0.546405899
24,squalene,C00751,638072,0.640680153
143,4-hydroxycinnamic acid,C00811,637542,-0.579016743
124,chlorogenic acid,C00852,1794427,1.679318855
46,pantothenic acid,C00864,6613,0.433609843
103,galactonic acid,C00880,128869,0.592287816
107,fucose + rhamnose,C01018,94270,0.252367514
9,trehalose,C01083,7427,-1.31403254
104,galactinol,C01235,439451,-0.397419584
68,maleic acid,C01384,444266,-0.369639159
39,phytol,C01389,9018,-0.484183109
116,cysteine-glycine,C01419,439498,0.65571455
127,caffeic acid,C01481,689043,-1.178531122
122,cis-caffeic acid,C01481,1549111,-0.708864855
126,capric acid,C01571,2969,-0.739121594
14,threonic acid,C01620,439535,-0.77815125
31,ribonic acid,C01685,5460677,-0.393944394
76,lanosterol,C01724,246983,-0.442957645
129,beta-sitosterol,C01753,222284,0.383456297
63,maltotriose,C01835,92146,-0.716143688
48,oxoproline,C01879,7405,0.112939976
137,arabitol,C01904,94154,1.089551883
64,maltose,C01971,6255,-0.696203788
2,xylose,C02205,644160,0.357172258
118,cystathionine,C02291,439258,0.173186268
12,tocopherol alpha,C02477,14985,0.678245152
75,lauric acid,C02679 ,3893,-1.425550941
54,N-acetyl-D-hexosamine,C03136,439281,0.409933123
65,malonic acid,C04025,867,0.539452492
52,nicotianamine,C05324,9882882,-0.583523091
90,glycerol-3-galactoside,C05401,656504,-0.728177275
115,dehydroascorbic acid,C05422,835,1.489578833
1,zymosterol,C05437,92746,0.863203859
22,stigmasterol,C05442,5280794,0.607562243
42,phenylethanol  ,C05853 ,6054,0.751817788
71,linolenic acid,C06427,5280934,-1.425550941
67,maleimide,C07272,10935,1.198079476
130,beta-gentiobiose,C08240,441422,1.282780668
60,melezitose,C08243,92817,-0.579911632
16,tagatose,D09007,92092,0.845222106
148,"1,2-anhydro-myo-inositol ",,119054,1.244944753
145,2-ketoglucose dimethylacetal ,,159630,-0.642447752
142,6-deoxyglucitol ,,151266,0.739414103
128,butyrolactam ,,12025,-0.758861688
125,cellobiotol,,160514,0.932980822
100,glucoheptulose,,102926,1.55351894
92,glycero-guloheptose ,,76599,1.135736744
83,idonic acid ,,193325,0.207634367
78,isothreonic acid,,151152,-0.621665717
73,levoglucosan,,2724705,0.898560645
69,lyxose,,65550,0.367355921
59,melibiose,,11458,0.270445908
58,methanolphosphate,,13130,0.57840997
21,suberyl glycine,,25202560,-0.826999818
15,threitol,,169019,0.566319622
3,xylonic acid,,6602431,-0.501595024
