ID,Treatment,zymosterol,xylose,xylonic acid,valine,urea,tyrosine,tyramine,tryptophan,trehalose,"trans-3,5-dimethoxy-4-hydroxycinnamaldehyde",tocopherol beta NIST,tocopherol alpha,threonine,threonic acid,threitol,tagatose,sulfuric acid,sucrose,succinic acid,succinate semialdehyde,suberyl glycine,stigmasterol,stearic acid,squalene,spermidine,sorbitol,sophorose,shikimic acid,serine,ribose,ribonic acid,ribitol,raffinose,quinic acid,pyrophosphate,"pyrazine 2,5-dihydroxy  NIST",putrescine,"propane-1,3-diol NIST",phytol,phosphoric acid,phenylethylamine,phenylethanol NIST ,phenylalanine,pentitol,pelargonic acid,pantothenic acid,palmitic acid,oxoproline,oxalic acid,oleic acid,N-methylalanine,nicotianamine,N-acetylmannosamine,N-acetyl-D-hexosamine,myristic acid,mucic acid,methionine,methanolphosphate,melibiose,melezitose,mannonic acid NIST,mannitol,maltotriose,maltose,malonic acid,malic acid,maleimide,maleic acid,lyxose,lysine,linolenic acid,linoleic acid,levoglucosan,leucine,lauric acid,lanosterol,lactic acid,isothreonic acid,isoleucine,isocitric acid,isochlorogenic acid,myo-inositol ,idonic acid NIST,hydroxylamine,homoserine,2-deoxyhexose ,glycolic acid,glycine,glycerol-alpha-phosphate,glycerol-3-galactoside,glycerol,glycero-guloheptose NIST,glyceric acid,glutamine,glutamic acid,glucose-6-phosphate,glucose-1-phosphate,glucose,gluconic acid lactone,glucoheptulose,galacturonic acid,galactose-6-phosphate,galactonic acid,galactinol,GABA,fumaric acid,fucose + rhamnose,fructose-6-phosphate,fructose,ferulic acid,FAD,ethanolamine,erythronic acid lactone,erythritol,dehydroascorbic acid,cysteine-glycine,cysteine,cystathionine,conduritol beta expoxide,citrulline,citric acid,cis-caffeic acid,cholesterol,chlorogenic acid,cellobiotol,capric acid,caffeic acid,butyrolactam NIST,beta-sitosterol,beta-gentiobiose,beta-alanine,benzylalcohol,benzoic acid,aspartic acid,asparagine,ascorbic acid,arabitol,arabinose,alpha ketoglutaric acid,alanine,aconitic acid,6-deoxyglucitol NIST,4-hydroxycinnamic acid,3-hydroxypropionic acid,2-ketoglucose dimethylacetal NIST,1-monostearin,1-monopalmitin,"1,2-anhydro-myo-inositol NIST"
P07, fresh frozen,28,2896,1336,15508,999,3206,5983,2734,46345,64,390,8696,7606,31893,648,540,24,284165,2138,231,407,229,24614,391,745,1270,1094,1960,117961,334,1110,661,257075,125,1340,2188,3737,1996,21621,2593,111,43,3066,2057,2581,2281,9331,95153,2407,528,881,810,6215,4646,1345,122,1045,851,923,826,252,3635,465,22663,1647,7661,305,671678,272,1241,55744,201,617,4594,38550,988,1394,4217,10896,5590,618,191218,337,131,1100,916,655,11457,3068,69724,13839,2200,149359,14818,258190,2167,2624,4620,100,869,136,491,645,779047,85835,111153,2250,1635,20730,898,301,92762,8355,65,1587,125,364,989,65,287,56932,1214,15912,1181,1030,2591,18563,1788,666,101,265,157,949,122999,4644,92,188,2050,3454,68482,5635,1251,1711,675,2118,151,705,759
P08, fresh frozen,70,1375,1248,13807,1099,2930,5382,2044,51492,104,447,9777,9228,46302,681,581,19,165210,2290,191,332,278,18476,371,700,2171,1029,14750,77576,282,939,626,277788,72,1747,2936,4024,1326,19731,2634,246,39,2969,2052,1760,2604,8547,105988,4298,598,584,1289,10168,6356,1224,148,1351,760,475,1043,175,1172,822,22355,1782,22989,333,766386,216,1045,53145,260,577,3945,27101,833,1243,5578,9605,7209,329,181646,492,162,948,85,319,8935,4535,54183,10710,1812,130527,10524,289233,3276,3801,4999,129,871,147,682,1024,784669,71024,119353,2117,2185,26262,1119,258,78063,7636,72,4865,128,448,705,58,241,67803,1988,19281,1554,127,1460,30560,1338,1174,129,189,88,704,148649,3426,182,186,1121,2879,50319,7893,623,1594,590,1766,100,360,372
P09, fresh frozen,43,2231,1103,12863,1188,2286,4096,1637,42108,72,431,7113,8604,30151,595,345,17,359359,2497,176,167,351,24401,221,535,1124,967,12074,52525,65,719,2691,317431,154,1972,1683,2416,2668,15766,4411,235,33,2119,1545,4082,1946,9367,82462,8123,470,467,897,7499,4946,1316,269,966,640,900,1036,74,3013,832,22397,1264,63750,517,720017,228,913,31448,272,847,3889,20503,676,1909,5380,8930,5895,362,149820,379,230,889,625,536,6337,4075,43038,11004,2097,151168,6987,222313,2900,6280,4428,157,734,54,591,621,779976,140494,74558,1506,1885,20669,957,318,61558,6834,80,4101,151,3196,458,65,205,49232,1910,18586,1470,646,1936,24083,3016,1017,76,99,202,1424,129293,2561,158,62,742,2582,70175,7177,819,1360,901,1913,111,444,551
P10, fresh frozen,139,2372,1294,16206,1956,2925,7178,1675,39299,124,428,8881,6986,21766,740,464,59,366957,2002,199,238,362,23746,315,696,1114,674,12284,87553,257,827,3006,356218,34,2582,1656,2397,3006,16110,2808,129,92,1974,1276,6092,2129,7993,106132,7401,510,900,1267,7470,5192,1381,103,1459,830,418,997,421,3613,613,42582,3578,115059,335,491569,272,1052,44961,207,1767,5282,43924,904,6596,5244,10391,5225,247,143870,510,239,1495,648,929,7370,4186,52548,18518,2550,136667,16335,280798,1996,2115,5253,129,1038,186,547,697,768269,79755,59882,2957,1705,22167,586,492,63283,6865,96,3426,102,815,886,21,387,71775,613,31231,1718,1448,4538,15493,1832,1437,121,145,331,2146,129232,4485,189,53,1652,3477,65782,4674,640,1027,3889,1718,270,705,443
P11, fresh frozen,42,2792,1221,15792,1034,3362,5006,2353,39005,119,377,5093,7001,32607,668,619,37,319130,3468,200,414,146,21582,343,551,1143,960,17327,70823,791,776,606,241216,100,1804,1991,2797,2038,21744,2247,193,28,2880,1833,2725,2350,8467,90710,2905,538,696,1152,7777,4995,1339,116,1290,1340,455,627,282,3773,312,22332,1187,2786,326,692654,508,1364,43266,268,512,5002,32092,513,1556,4897,10323,6675,310,182938,265,209,2112,834,710,6741,3172,69702,13996,2530,90023,7216,267093,2494,3279,3730,135,953,85,475,829,745949,77375,180642,7507,1795,16155,1120,369,86394,5641,69,452,152,537,1260,46,205,98301,1793,10429,1031,654,2336,26778,1981,631,135,95,189,990,120267,3438,82,178,1867,4151,106849,10084,825,2046,759,1178,275,758,285
P12, fresh frozen,112,997,1679,13793,822,2884,5853,1729,40891,94,398,7845,8951,43503,710,611,23,281671,2333,131,349,377,17340,269,480,1626,596,12734,77349,286,1017,466,295977,188,1505,2117,2523,1819,19378,3378,134,29,2280,1772,3060,2139,7618,86900,5824,531,592,979,10325,6388,1203,208,1438,564,358,838,410,4629,762,45851,1990,69297,326,680667,230,864,36219,227,737,3919,29798,1241,1918,4952,9303,6112,294,161498,453,181,1032,547,881,7601,4220,51049,15728,2460,203248,13349,279039,2846,4547,8179,122,916,121,625,971,663493,83251,88466,1931,1917,47002,876,342,70121,10408,81,724,155,354,691,28,208,73970,1593,53048,1570,443,2379,25634,1785,225,82,136,188,1045,122451,2991,98,138,788,2748,53166,7071,689,1634,1126,2550,311,778,682
P19, lyophilized,60,3892,1397,14805,1786,3352,10853,1748,45024,105,392,9778,10683,31263,733,632,35,294888,2478,355,405,349,25017,268,575,1712,1041,17002,62957,311,1520,3999,327277,144,1841,1000,2611,2000,16946,3048,101,33,2769,1890,1794,2068,8844,101532,6573,974,679,1344,13702,7527,2298,209,1615,13,470,880,366,4092,474,22650,1860,113197,346,906373,460,745,20735,175,819,4132,59980,1319,1941,6754,10835,6425,327,184671,365,165,1483,829,674,6925,5214,23219,24574,2574,332993,10160,319227,1966,3332,11087,108,1006,149,405,721,784029,89348,84435,2257,1154,55198,727,423,69318,503,145,4931,159,373,701,71,250,68583,932,34501,1077,977,3348,13604,1534,1139,85,140,137,1094,138080,2603,589,164,1205,2314,60683,4647,786,1419,1042,4402,140,1092,1180
P20, lyophilized,98,3928,1956,17782,1497,4017,9169,2749,51618,114,492,8167,12092,36508,895,468,19,201017,3185,277,587,393,24214,325,790,2295,1373,19189,74052,294,1656,6604,299900,136,2098,1001,3514,1998,19269,3231,309,43,3357,2317,2549,2635,9363,99027,5595,1462,671,1554,13808,8716,2240,153,1994,371,415,773,409,5256,400,27376,1853,112510,344,842544,486,1069,23934,564,665,6189,57910,1113,1721,7415,12429,8003,212,209900,452,185,1785,996,721,7592,5848,24696,21122,2539,299869,10500,330388,2879,3020,7122,121,1007,147,557,881,771865,129618,93003,2456,1464,36932,883,421,72330,12151,100,13579,79,524,859,99,279,71366,1069,46719,1263,505,3789,15793,2628,1612,109,214,269,1094,162154,2896,563,63,1275,3435,99186,5439,860,2103,1209,6008,1916,4593,680
P21, lyophilized,100,2559,1808,18316,2670,4115,12735,3307,49421,109,520,9110,13213,34445,1209,1302,45,202321,3371,159,890,370,29397,417,705,3723,1040,20241,93155,534,1823,4829,316231,368,2702,1043,3168,2108,18226,3499,400,39,4109,3142,2622,2772,10563,111348,9117,1309,700,2176,8339,2509,2696,248,1803,27,705,813,336,8085,304,17719,1987,150746,448,656559,402,1061,22595,145,578,5678,85077,1170,3004,7357,12186,7989,441,236536,569,222,2678,1428,849,8418,6945,22702,28618,2597,283091,10044,353734,3353,3767,3820,107,912,268,649,1058,807234,93541,74885,2668,1561,24711,695,677,82685,1563,1025,8700,130,617,1588,78,227,89874,875,39518,1229,830,5297,12008,1690,858,235,282,238,1461,188644,3001,608,259,1763,5053,130869,5159,1220,1768,1374,6698,1677,3783,442
P22, lyophilized,82,2379,1673,10204,2563,1777,11467,1268,32821,68,853,23535,10039,29655,1032,737,45,354601,1987,158,197,357,21146,456,705,2646,1432,20366,47319,232,1428,3061,347834,190,1564,629,2644,2571,22280,2571,72,75,1644,2233,2553,2210,7152,65663,4529,806,396,1108,9789,6050,2027,138,810,19,578,697,309,5915,526,16149,1883,59415,553,851464,431,648,12998,176,1138,2812,60724,1934,2523,5284,7719,8725,264,175483,618,398,1413,1019,848,5947,4715,8142,20845,2752,260148,12844,121281,1364,2631,14948,208,1029,188,458,885,866578,464187,54693,2635,823,89394,805,610,64502,7734,123,785,132,472,818,98,241,72492,919,42675,1397,1652,3533,14318,6788,676,235,93,252,1874,71056,1934,131,225,740,1231,46555,6989,1125,4667,1124,1582,492,1554,932
